No,Ecosystem,Package Name,Package Version,File Name,Line No,Issue,Note,,,,,,,,,,,,,,,,,,
,,,,setup.py,32,code_download_executable_or_binary_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,34,code_execution_executable_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"40,46",code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
51,pypi,paypalload,4.13,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
52,pypi,py-minestrcv,6.49,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10, 36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
53,pypi,hypixelmc,1.0.8,hypixel.py,20,code_execution_install_dynamic_package,,,,,,,,,,,,,,,,,,,
,,,,hypixel.py,20,code_suppressing_error,,,,,,,,,,,,,,,,,,,
54,pypi,esqlibpiptool,6.49,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10, 36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
55,pypi,beutifulsoup4,0.1,setup.py,1-136,code_obfuscation,,,,,,,,,,,,,,,,,,,
56,pypi,lucifertest2,,setup.py,6,metadata_description_none,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,lucifertest2/load_lucifer,9,code_download_payload,,,,,,,,,,,,,,,,,,,
,,,,lucifertest2/load_lucifer,9,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,lucifertest2/load_lucifer,9,code_write_to_disk,,,,,,,,,,,,,,,,,,,
,,,,lucifertest2/load_lucifer,11,code_execution_shell_command,,,,,,,,,,,,,,,,,,,
,,,,lucifertest2/load_lucifer,12,code_suppressing_error,,,,,,,,,,,,,,,,,,,
57,pypi,py-osintpep,2.12,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9, 35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
58,pypi,selfsplitcpuload,6.2,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
59,pypi,libpostintel,8.6,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
60,pypi,libramhydralib,4.36,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
61,pypi,iiris-new2,1.0.0,iiris/__init__.py,14,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,iiris/__init__.py,17,code_exfiltration_to_malicious_domain,,,,,,,,,,,,,,,,,,,
,,,,setup.py,11-Oct,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
62,pypi,tpintelcraft,1.74,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
63,pypi,python-sqlite,2.4,setup.py,29-32,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"24-25, 43-48",code_exfiltration_data,,,,,,,,,,,,,,,,,,,
64,pypi,py-piposintpaypal,7.44,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
65,pypi,py-intelstringencode,8.7,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
66,pypi,py-paypalpaypal,10.36,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
67,pypi,esqpushvm,3.82,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
68,pypi,py-killkillvirtual,5.96,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
69,pypi,spamysynonym,3.0.1,setup.py,15-Sep,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,11-Oct,code_download_script_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,14,code_execution_script_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,21,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
70,pypi,tpintelpyw,3.76,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
71,pypi,tpstrstrsplit,10.34,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
72,pypi,testlibtaha,0.1,__init__.py,"12,20,32-33,75",code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,__init__.py,"37,47,51,58-60",code_execution_decryption,,,,,,,,,,,,,,,,,,,
,,,,,69-72,code_write_to_disk,,,,,,,,,,,,,,,,,,,
,,,,,80,code_exfiltration_file,,,,,,,,,,,,,,,,,,,
,,,,,83,code_remove_file,,,,,,,,,,,,,,,,,,,
,,,,,85,code_suppressing_error,,,,,,,,,,,,,,,,,,,
73,pypi,stringintel,9.5,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
,,,10.65,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
74,pypi,selfosintvmcraft,10.88,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
75,pypi,libcontrolrehydra,8.33,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
76,pypi,tppullpipver,6.13,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
77,pypi,libultraultracc,6.25,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
78,pypi,discotools,0.0.1,discotools.py,,** Threat Found **,,,,,,,,,,,,,,,,,,,
79,pypi,selflibtool,7.57,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
80,pypi,pythoncaptchasolver,2.0.,setup.py,16,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,6,code_download_payload,,,,,,,,,,,,,,,,,,,
,,,,setup.py,6,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_download_executable_or_binary_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_silent,,,,,,,,,,,,,,,,,,,
81,pypi,selfremask,10.81,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
82,pypi,esqcpuverre,1.98,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
83,pypi,esqnvidiaadram,1.94,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
84,pypi,tpadmaskcandy,4.71,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
85,pypi,pygame-Print,15.0.6,setup.py,11-Oct,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,31-37,code_obfuscation_encoding,,,,,,,,,,,,,,,,,,,
,,,,setup.py,38,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,reqinstaller/__init__.py,6,code_download_executable_or_binary_file,,,,,,,,,,,,,,,,,,,
,,,,reqinstaller/__init__.py,8,code_write_to_disk,,,,,,,,,,,,,,,,,,,
,,,,reqinstaller/__init__.py,11,code_execution_executable_file,,,,,,,,,,,,,,,,,,,
86,pypi,packagename69,1.0.,setup.py,,** Threat Found **,,,,,,,,,,,,,,,,,,,
87,pypi,tpmcvisaed,9.63,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
88,pypi,libvisaintinfo,6.16,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
89,pypi,openasea,1.0.0,setup.py,10,code_obfuscation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-Oct,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,code_execution_environment_specific,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,code_execution_decryption,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,24-25,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"26,28",metadata_description_anomaly,,,,,,,,,,,,,,,,,,,
90,pypi,color-vividpy,0.1,color-vividpy/__init__.py,9-Jan,code_obfuscation,,,,,,,,,,,,,,,,,,,
91,pypi,libvirtualhydra,10.15,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
92,pypi,testwhitesnakemodule,0.1,setup.py,8,metadata_description_none,,,,,,,,,,,,,,,,,,,
,,,,setup.py,27,code_execution_environment_specific,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"28, 30",code_execution_decryption,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"28, 30",code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
93,pypi,pyaacv,0.1,setup.py,28-Jun,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,code_download_executable_or_binary_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,20,code_execution_executable_file,,,,,,,,,,,,,,,,,,,
94,pypi,byterec-models,0.8.3,setup.py,18-19,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,byterec_models/__init__.py,14,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,byterec_models/__init__.py,20,code_exfiltration_data,,,,,,,,,,,,,,,,,,,
,,,1.5.3,setup.py,18-19,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,byterec_models/__init__.py,14,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,byterec_models/__init__.py,20,code_exfiltration_data,,,,,,,,,,,,,,,,,,,
95,pypi,upggrade-requests,0.0.1,requests/call.py,5-Jan,code_obfuscation,,,,,,,,,,,,,,,,,,,
,,,,requests/call.py,1,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
96,pypi,py-mineencodeosint,3.41,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
97,pypi,selfvmcraftpush,10.33,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
98,pypi,pipad,10.74,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
99,pypi,tppippushvm,9.58,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
100,pypi,pytoch,0.1,setup.py,6-130,code_obfuscation,,,,,,,,,,,,,,,,,,,
101,pypi,esqsplitping,3.56,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
